judul,url,lpse,metode,satker,tahap,hps,jadwal,page
Monitoring dan Evaluasi Rekonstruksi PLTMH Patamuan Seleksi Ulang,https://pengadaan.info/detail/monitoring-dan-evaluasi-rekonstruksi-pltmh-patamuan-seleksi-ulang,LPSE Kementerian Energi dan Sumber Daya Mineral,-,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Pengumuman Prakualifikasi [...],"Hps Rp 842.496.600,00",21 January 2026 16:00:00 s/d 06 March 2026 23:59:00,4
Pemeliharaan Rutin Jalan UPTD Pemeliharaan Jalan Wilayah Sidareja (Tahap I),https://pengadaan.info/detail/pemeliharaan-rutin-jalan-uptd-pemeliharaan-jalan-wilayah-sidareja-tahap-i,LPSE Kabupaten Cilacap,-,Dinas Pekerjaan Umum dan Perumahan Rakyat,Pengumuman Pascakualifikasi [...],"Hps Rp 503.185.000,00",21 January 2026 16:00:00 s/d 24 February 2026 16:00:00,4
Pemeliharaan Rutin Jalan UPTD Pemeliharaan Jalan Wilayah Majenang (Tahap I),https://pengadaan.info/detail/pemeliharaan-rutin-jalan-uptd-pemeliharaan-jalan-wilayah-majenang-tahap-i,LPSE Kabupaten Cilacap,-,Dinas Pekerjaan Umum dan Perumahan Rakyat,Pengumuman Pascakualifikasi [...],"Hps Rp 503.346.000,00",21 January 2026 16:00:00 s/d 24 February 2026 16:00:00,4
Konsultan Supervisi Rekonstruksi Jalan Cipayung Kec. Cipayung (Lanjutan) TA. 2026,https://pengadaan.info/detail/konsultan-supervisi-rekonstruksi-jalan-cipayung-kec-cipayung-lanjutan-ta-2026,LPSE Kota Depok,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 195.540.000,00",21 January 2026 16:00:00 s/d 20 March 2026 16:00:00,4
Supervisi Rehabilitasi Gedung CCC Makassar #2SP,https://pengadaan.info/detail/supervisi-rehabilitasi-gedung-ccc-makassar-2sp,LPSE Provinsi Sulawesi Selatan,-,"DINAS SUMBER DAYA AIR, CIPTA KARYA DAN TATA RUANG",Pengumuman Prakualifikasi [...],"Hps Rp 999.693.000,00",21 January 2026 15:57:00 s/d 27 March 2026 16:00:00,4
Pemeliharaan dan Pengembangan Sistem Informasi Kebencanaan 9,https://pengadaan.info/detail/pemeliharaan-dan-pengembangan-sistem-informasi-kebencanaan-9,LPSE Provinsi Daerah Khusus Ibukota Jakarta,-,PUSAT DATA DAN INFORMASI KEBENCANAAN,Pengumuman Pascakualifikasi [...],"Hps Rp 111.925.000,00",21 January 2026 15:00:00 s/d 13 February 2026 16:00:00,4
Rekonstruksi Ruas Jalan Widodaren - Karangasem,https://pengadaan.info/detail/rekonstruksi-ruas-jalan-widodaren-karangasem,LPSE Kabupaten Pemalang,-,Dinas Pekerjaan Umum dan Penataan Ruang,Pengumuman Pascakualifikasi [...],"Hps Rp 2.461.397.354,33",21 January 2026 15:00:00 s/d 12 February 2026 16:00:00,4
Rekonstruksi Ruas Jalan Widodaren - Karangasem,https://pengadaan.info/detail/rekonstruksi-ruas-jalan-widodaren-karangasem,LPSE Kabupaten Pemalang,-,Dinas Pekerjaan Umum dan Penataan Ruang,Pengumuman Pascakualifikasi [...],"Hps Rp 2.461.397.354,33",21 January 2026 15:00:00 s/d 12 February 2026 16:00:00,5
Rekonstruksi Ruas Jalan Paket 7,https://pengadaan.info/detail/rekonstruksi-ruas-jalan-paket-7,LPSE Kabupaten Pemalang,-,Dinas Pekerjaan Umum dan Penataan Ruang,Pengumuman Pascakualifikasi [...],"Hps Rp 3.998.804.821,57",21 January 2026 15:00:00 s/d 12 February 2026 16:00:00,5
Pemeliharaan dan Pengembangan Sistem Informasi Kebencanaan 8,https://pengadaan.info/detail/pemeliharaan-dan-pengembangan-sistem-informasi-kebencanaan-8,LPSE Provinsi Daerah Khusus Ibukota Jakarta,-,PUSAT DATA DAN INFORMASI KEBENCANAAN,Pengumuman Pascakualifikasi [...],"Hps Rp 111.925.000,00",21 January 2026 15:00:00 s/d 13 February 2026 16:00:00,5
